cnt_location,type,Q
Home,Physical,0.16776210153553944
Work,Physical,0.09043028849636925
School,Physical,0.22505396525780785
Other,Physical,0.1301617826473983
Home,Conversational,0.06908648345864174
Work,Conversational,0.057682618431160765
School,Conversational,0.14764879324729563
Other,Conversational,0.07228815420271001
