part_id,country,part_age_group,part_adult_child,part_ethnicity,part_ses,day_week,large_n,add_u18_work,add_18_64_work,add_65_work,add_u18_school,add_18_64_school,add_65_school,add_u18_other,add_18_64_other,add_65_other
354,UK,45-49,Adult,White,7,weekday,0,0,0,0,0,0,0,0,0,0
355,UK,60-64,Adult,White,3,weekday,1,0,0,0,0,0,0,1,0,0
356,UK,30-34,Adult,Asian,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
357,UK,25-29,Adult,White,Unemployed,weekday,3,0,0,0,0,0,0,1,2,0
358,UK,20-24,Adult,Asian,2,weekday,4,0,0,0,0,0,0,0,3,1
359,UK,65-69,Adult,White,7,weekday,0,0,0,0,0,0,0,0,0,0
360,UK,60-64,Adult,White,Unemployed,weekday,35,0,0,0,0,0,0,0,10,25
361,UK,45-49,Adult,Other,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
362,UK,40-44,Adult,Asian,1,weekday,9,1,2,0,1,2,0,1,2,0
363,UK,45-49,Adult,White,4,weekday,0,0,0,0,0,0,0,0,0,0
364,UK,45-49,Adult,White,2,weekday,44,0,0,0,0,0,0,4,30,10
365,UK,40-44,Adult,Asian,6,weekday,0,0,0,0,0,0,0,0,0,0
366,UK,20-24,Adult,Asian,3,weekday,0,0,0,0,0,0,0,0,0,0
367,UK,20-24,Adult,White,5,weekday,5,0,0,0,0,0,0,0,5,0
368,UK,30-34,Adult,White,6,weekday,2,0,0,0,0,0,0,0,2,0
369,UK,75+,Adult,White,Retired,weekday,8,0,0,0,0,0,0,1,5,2
370,UK,30-34,Adult,White,2,weekday,1,0,0,0,0,0,0,1,0,0
371,UK,65-69,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
372,UK,60-64,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
373,UK,30-34,Adult,Black,1,weekday,50,0,0,0,0,0,0,10,30,10
374,UK,35-39,Adult,White,2,weekday,22,0,0,0,0,0,0,1,20,1
375,UK,70-74,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
376,UK,20-24,Adult,White,1,weekday,2,0,0,0,0,0,0,0,2,0
377,UK,25-29,Adult,White,2,weekend,0,0,0,0,0,0,0,0,0,0
378,UK,60-64,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
379,UK,45-49,Adult,White,7,weekday,1,0,0,0,0,0,0,0,0,1
380,UK,25-29,Adult,White,7,weekend,0,0,0,0,0,0,0,0,0,0
381,UK,75+,Adult,White,Retired,weekday,2,0,0,0,0,0,0,0,1,1
382,UK,25-29,Adult,White,3,weekday,2,0,0,0,0,0,0,0,2,0
383,UK,45-49,Adult,White,2,weekday,1,0,0,0,0,0,0,1,0,0
384,UK,45-49,Adult,White,6,weekday,30,0,0,0,10,20,0,0,0,0
385,UK,70-74,Adult,White,Retired,weekday,3,0,0,0,0,0,0,0,3,0
386,UK,30-34,Adult,White,5,weekday,0,0,0,0,0,0,0,0,0,0
387,UK,65-69,Adult,White,Retired,weekend,2,0,0,0,0,0,0,0,1,1
388,UK,35-39,Adult,White,Unemployed,weekend,1,0,0,0,0,0,0,1,0,0
389,UK,35-39,Adult,White,2,weekday,1,0,0,0,0,0,0,0,1,0
390,UK,50-54,Adult,White,3,weekend,0,0,0,0,0,0,0,0,0,0
400,UK,40-44,Adult,White,3,weekday,0,0,0,0,0,0,0,0,0,0
411,UK,45-49,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
422,UK,40-44,Adult,White,1,weekday,10,0,0,0,0,0,0,10,0,0
433,UK,45-49,Adult,White,7,weekday,0,0,0,0,0,0,0,0,0,0
444,UK,35-39,Adult,Black,3,weekend,20,0,0,0,0,0,0,20,0,0
455,UK,55-59,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
466,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
477,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
488,UK,30-34,Adult,White,3,weekday,1,0,0,0,0,0,0,1,0,0
499,UK,40-44,Adult,White,4,weekday,0,0,0,0,0,0,0,0,0,0
510,UK,25-29,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
521,UK,25-29,Adult,Black,6,weekday,0,0,0,0,0,0,0,0,0,0
532,UK,45-49,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
543,UK,45-49,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
554,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
